epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.8376,1.00923,1.46891,1.08956,0.88412,0.86858,0.95005,0.55321,1.67069,1.4223,1.3217,0.0671404,0.000331915,0.000331915
2,142.436,0.56132,0.85065,0.95851,0.001,0.02753,0.00051,9e-05,5.40839,3.66585,3.3613,0.0341353,0.000660103,0.000660103
3,214.818,0.46123,0.75215,0.93486,0.05998,0.10898,0.07694,0.02515,4.1513,5.13937,2.44981,0.00112498,0.000983135,0.000983135
4,285.668,0.38089,0.67924,0.92155,0.8006,0.1,0.0006,0.00025,2.81985,inf,2.38079,0.000976797,0.000976797,0.000976797
5,357.279,0.33646,0.6237,0.91375,0.00537,0.00815,0.00041,6e-05,5.76981,4.5077,3.57763,0.000969063,0.000969063,0.000969063
6,428.604,0.311,0.59169,0.91032,0.06408,0.34798,0.04914,0.01473,3.31592,3.73031,1.84266,0.000961328,0.000961328,0.000961328
7,500.86,0.29914,0.57823,0.90843,3e-05,0.00185,2e-05,0,6.0145,8.02073,4.99074,0.000953594,0.000953594,0.000953594
8,571.733,0.29093,0.56771,0.90722,0.01249,0.08377,0.00513,0.00079,4.8362,4.03325,3.15702,0.000945859,0.000945859,0.000945859
9,655.033,0.28146,0.55543,0.90519,7e-05,0.00019,0,0,5.94821,5.99131,4.37321,0.000938125,0.000938125,0.000938125
10,741.008,0.27353,0.55179,0.9041,0.0562,0.18092,0.04135,0.01156,3.57903,3.88761,2.24786,0.000930391,0.000930391,0.000930391
11,824.481,0.26547,0.54187,0.90399,0.00258,0.01533,0.00036,6e-05,5.2458,5.7844,3.35994,0.000922656,0.000922656,0.000922656
12,917.533,0.26081,0.54001,0.90365,0.06364,0.3076,0.04322,0.01101,3.72425,3.3779,2.11966,0.000914922,0.000914922,0.000914922
13,999.1,0.26147,0.53978,0.90266,0.06994,0.29753,0.05205,0.01724,3.34813,5.535,2.1086,0.000907188,0.000907188,0.000907188
14,1079.86,0.25418,0.52843,0.90212,0.10574,0.22966,0.08616,0.0228,3.39435,4.9936,1.9736,0.000899453,0.000899453,0.000899453
15,1157.22,0.26463,0.5406,0.9023,0.00025,0.0002,1e-05,0,5.24286,7.27712,3.62655,0.000891719,0.000891719,0.000891719
16,1235.06,0.25096,0.5317,0.90099,0,0,0,0,5.72149,6.44985,3.74262,0.000883984,0.000883984,0.000883984
17,1312.46,0.25661,0.53282,0.90195,0,0,0,0,5.97172,7.66984,4.38727,0.00087625,0.00087625,0.00087625
18,1392.31,0.24097,0.51597,0.8999,0.00179,0.01067,0.00033,5e-05,5.45342,9.46186,3.53487,0.000868516,0.000868516,0.000868516
19,1473.28,0.24251,0.51451,0.90118,0.00022,0.00042,1e-05,0,5.77226,5.93771,3.88466,0.000860781,0.000860781,0.000860781
20,1556.25,0.24496,0.52032,0.90115,0.01071,0.10105,0.00426,0.0007,5.09366,7.50538,2.94374,0.000853047,0.000853047,0.000853047
21,1633.71,0.2369,0.51325,0.90049,0.05229,0.20849,0.02365,0.00412,4.49697,5.51847,2.78931,0.000845313,0.000845313,0.000845313
22,1711.87,0.23703,0.50863,0.89954,0.06164,0.33845,0.03942,0.01023,3.60291,5.25137,2.18414,0.000837578,0.000837578,0.000837578
23,1792.77,0.24025,0.51441,0.89993,0.1327,0.56661,0.11413,0.05073,2.22798,4.76919,1.58168,0.000829844,0.000829844,0.000829844
24,1872.67,0.23938,0.51852,0.90073,0.00133,0.01748,0.0003,4e-05,5.63714,8.17307,3.62241,0.000822109,0.000822109,0.000822109
25,1962.03,0.23278,0.50772,0.89904,0.10426,0.46497,0.10565,0.03865,2.91848,6.33355,1.91329,0.000814375,0.000814375,0.000814375
26,2043.54,0.22713,0.50282,0.89945,6e-05,0.00019,0,0,5.84048,7.91498,3.71836,0.000806641,0.000806641,0.000806641
27,2121.54,0.2266,0.499,0.89887,0.1155,0.3255,0.07002,0.01584,3.94211,6.67795,2.18399,0.000798906,0.000798906,0.000798906
28,2200.04,0.22612,0.50022,0.89898,0,0,0,0,5.7565,7.20783,4.12099,0.000791172,0.000791172,0.000791172
29,2278.25,0.22282,0.49722,0.8986,1e-05,0.00034,0,0,5.78315,8.35135,3.80938,0.000783438,0.000783438,0.000783438
30,2356.05,0.22108,0.49201,0.89895,9e-05,0.0003,0,0,5.75451,8.96665,3.73937,0.000775703,0.000775703,0.000775703
31,2433.61,0.22137,0.49093,0.89876,0.0107,0.04979,0.00325,0.00044,5.30017,7.97468,3.45778,0.000767969,0.000767969,0.000767969
32,2510.72,0.2199,0.4913,0.89869,0.0035,0.01781,0.00037,5e-05,5.26692,7.57768,3.48138,0.000760234,0.000760234,0.000760234
33,2588.3,0.22015,0.48544,0.89822,0.00447,0.02481,0.00065,9e-05,5.10525,6.13897,3.14368,0.0007525,0.0007525,0.0007525
